id,soma_joinid,collection_id,collection_name,collection_doi,dataset_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
5,5,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,ff45e623-7f5f-46e3-b47d-56be0341f66b,Tabula Sapiens - Pancreas,ff45e623-7f5f-46e3-b47d-56be0341f66b.h5ad,13497
6,6,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,f01bdd17-4902-40f5-86e3-240d66dd2587,Tabula Sapiens - Salivary_Gland,f01bdd17-4902-40f5-86e3-240d66dd2587.h5ad,27199
7,7,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,e6a11140-2545-46bc-929e-da243eed2cae,Tabula Sapiens - Heart,e6a11140-2545-46bc-929e-da243eed2cae.h5ad,11505
8,8,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,e5c63d94-593c-4338-a489-e1048599e751,Tabula Sapiens - Bladder,e5c63d94-593c-4338-a489-e1048599e751.h5ad,24583
9,9,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,d8732da6-8d1d-42d9-b625-f2416c30054b,Tabula Sapiens - Trachea,d8732da6-8d1d-42d9-b625-f2416c30054b.h5ad,9522
10,10,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,d77ec7d6-ef2e-49d6-9e79-05b7f8881484,Tabula Sapiens - Prostate,d77ec7d6-ef2e-49d6-9e79-05b7f8881484.h5ad,16375
11,11,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,cee11228-9f0b-4e57-afe2-cfe15ee56312,Tabula Sapiens - Spleen,cee11228-9f0b-4e57-afe2-cfe15ee56312.h5ad,34004
12,12,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,a357414d-2042-4eb5-95f0-c58604a18bdd,Tabula Sapiens - Small_Intestine,a357414d-2042-4eb5-95f0-c58604a18bdd.h5ad,12467
13,13,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,a2d4d33e-4c62-4361-b80a-9be53d2e50e8,Tabula Sapiens - Vasculature,a2d4d33e-4c62-4361-b80a-9be53d2e50e8.h5ad,16037
14,14,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,a0754256-f44b-4c4a-962c-a552e47d3fdc,Tabula Sapiens - Eye,a0754256-f44b-4c4a-962c-a552e47d3fdc.h5ad,10650
15,15,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,983d5ec9-40e8-4512-9e65-a572a9c486cb,Tabula Sapiens - Blood,983d5ec9-40e8-4512-9e65-a572a9c486cb.h5ad,50115
16,16,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,7357cee7-9f7f-4ab0-8cec-90de8f047e38,Tabula Sapiens - Large_Intestine,7357cee7-9f7f-4ab0-8cec-90de8f047e38.h5ad,13680
17,17,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,6ec405bb-4727-4c6d-ab4e-01fe489af7ea,Tabula Sapiens - Uterus,6ec405bb-4727-4c6d-ab4e-01fe489af7ea.h5ad,7124
18,18,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,6d41668c-168c-4500-b06a-4674ccf3e19d,Tabula Sapiens - Liver,6d41668c-168c-4500-b06a-4674ccf3e19d.h5ad,5007
19,19,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,5e5e7a2f-8f1c-42ac-90dc-b4f80f38e84c,Tabula Sapiens - Fat,5e5e7a2f-8f1c-42ac-90dc-b4f80f38e84c.h5ad,20263
20,20,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,55cf0ea3-9d2b-4294-871e-bb4b49a79fc7,Tabula Sapiens - Tongue,55cf0ea3-9d2b-4294-871e-bb4b49a79fc7.h5ad,15020
21,21,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,4f1555bc-4664-46c3-a606-78d34dd10d92,Tabula Sapiens - Bone_Marrow,4f1555bc-4664-46c3-a606-78d34dd10d92.h5ad,12297
22,22,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,2ba40233-8576-4dec-a5f1-2adfa115e2dc,Tabula Sapiens - Mammary,2ba40233-8576-4dec-a5f1-2adfa115e2dc.h5ad,11375
23,23,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,2423ce2c-3149-4cca-a2ff-cf682ea29b5f,Tabula Sapiens - Kidney,2423ce2c-3149-4cca-a2ff-cf682ea29b5f.h5ad,9641
24,24,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,1c9eb291-6d31-47e1-96b2-129b5e1ae64f,Tabula Sapiens - Muscle,1c9eb291-6d31-47e1-96b2-129b5e1ae64f.h5ad,30746
25,25,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,18eb630b-a754-4111-8cd4-c24ec80aa5ec,Tabula Sapiens - Lymph_Node,18eb630b-a754-4111-8cd4-c24ec80aa5ec.h5ad,53275
26,26,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,0d2ee4ac-05ee-40b2-afb6-ebb584caa867,Tabula Sapiens - Lung,0d2ee4ac-05ee-40b2-afb6-ebb584caa867.h5ad,35682
27,27,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,0ced5e76-6040-47ff-8a72-93847965afc0,Tabula Sapiens - Thymus,0ced5e76-6040-47ff-8a72-93847965afc0.h5ad,33664
28,28,e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,10.1126/science.abl4896,0041b9c3-6a49-4bf7-8514-9bc7190067a7,Tabula Sapiens - Skin,0041b9c3-6a49-4bf7-8514-9bc7190067a7.h5ad,9424
29,29,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,c8f83821-a242-4ed7-86e9-7da077f5d348,white matter - astrocytes,c8f83821-a242-4ed7-86e9-7da077f5d348.h5ad,3596
30,30,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,c05e6940-729c-47bd-a2a6-6ce3730c4919,white matter - all cells,c05e6940-729c-47bd-a2a6-6ce3730c4919.h5ad,45528
